"mese" "Prezzo"
1996 set 114.65380952381
1996 ott 113.870454545455
1996 nov 115.7485
1996 dic 121.624736842105
1997 gen 153.226818181818
1997 feb 185.540588235294
1997 mar 206.777368421053
1997 apr 211.251428571429
1997 mag 236.217
1997 giu 225.792380952381
1997 lug 183.263181818182
1997 ago 192.944761904762
1997 set 201.625
1997 ott 184.32652173913
1997 nov 181.9735
1997 dic 205.861
1998 gen 216.686666666667
1998 feb 211.849444444444
1998 mar 183.853636363636
1998 apr 166.083684210526
1998 mag 141.78
1998 giu 121.121904761905
1998 lug 112.039545454545
1998 ago 115.937142857143
1998 set 104.832380952381
1998 ott 103.119523809524
1998 nov 110.9185
1998 dic 117.937
1999 gen 113.902105263158
1999 feb 98.2516666666667
1999 mar 99.365652173913
1999 apr 101.077368421053
1999 mag 111.680476190476
1999 giu 106.119523809524
1999 lug 89.4947619047619
1999 ago 85.4177272727273
1999 set 78.8619047619048
1999 ott 87.8115
1999 nov 113.8705
1999 dic 131.275238095238
2000 gen 123.809523809524
2000 feb 111.148571428571
2000 mar 111.482380952381
2000 apr 101.897894736842
2000 mag 98.0931818181818
2000 giu 87
2000 lug 83.4071428571429
2000 ago 76.1756521739131
2000 set 74.6635
2000 ott 76.4771428571429
2000 nov 72.622
2000 dic 65.2726315789474
2001 gen 65.1709090909091
2001 feb 63.3594444444444
2001 mar 59.8609090909091
2001 apr 53.2865
2001 mag 56.6745454545455
2001 giu 52.693
2001 lug 47.3371428571429
2001 ago 45.3178260869565
2001 set 41.9484210526316
2001 ott 38.1304545454545
2001 nov 43.7275
2001 dic 44.39
2002 gen 46.2068181818182
2002 feb 45.8022222222222
2002 mar 49.6025
2002 apr 50.7568181818182
2002 mag 43.3123809523809
2002 giu 39.102
2002 lug 35.6627272727273
2002 ago 35.2159090909091
2002 set 40.7814285714286
2002 ott 44.1339130434783
2002 nov 52.4025
2002 dic 50.4831578947368
2003 gen 55.4881818181818
2003 feb 53.702
2003 mar 50.8584210526316
2003 apr 56.28
2003 mag 58.3842857142857
2003 giu 55.3955
2003 lug 56.4795454545455
2003 ago 57.7809523809524
2003 set 59.5004545454545
2003 ott 58.5165217391304
2003 nov 57.541
2003 dic 59.662
2004 gen 67.7709523809524
2004 feb 69.5605555555556
2004 mar 71.0021739130435
2004 apr 69.5635
2004 mag 69.9709523809524
2004 giu 76.5909523809524
2004 lug 66.0390909090909
2004 ago 66.3268181818182
2004 set 75.8666666666667
2004 ott 75.6665
2004 nov 86.3385
2004 dic 99.1519047619048
2005 gen 105.651904761905
2005 feb 117.438888888889
2005 mar 124.588636363636
2005 apr 130.5195
2005 mag 132.444285714286
2005 giu 124.605454545455
2005 lug 107.644285714286
2005 ago 107.613913043478
2005 set 100.428095238095
2005 ott 108.294
2005 nov 114.4385
2005 dic 108.618095238095
2006 gen 128.299090909091
2006 feb 124.725555555556
2006 mar 118.270869565217
2006 apr 116.958333333333
2006 mag 107.864090909091
2006 giu 99.9352380952381
2006 lug 99.6071428571429
2006 ago 107.953043478261
2006 set 107.6785
2006 ott 109.482857142857
2006 nov 124.65
2006 dic 135.567894736842
2007 gen 131.706818181818
2007 feb 127.611111111111
2007 mar 121.044545454545
2007 apr 117.539
2007 mag 117.345454545455
2007 giu 124.566
2007 lug 126.759545454545
2007 ago 129.608695652174
2007 set 136.552105263158
2007 ott 142.060454545455
2007 nov 138.8255
2007 dic 146.301111111111
2008 gen 150.998636363636
2008 feb 165.237368421053
2008 mar 154.258
2008 apr 151.963333333333
2008 mag 153.5965
2008 giu 158.051904761905
2008 lug 157.457826086957
2008 ago 154.307142857143
2008 set 145.621363636364
2008 ott 118.072173913043
2008 nov 115.0345
2008 dic 109.096315789474
2009 gen 116.227
2009 feb 116.586666666667
2009 mar 113.549545454545
2009 apr 117.9715
2009 mag 130.103
2009 giu 131.007619047619
2009 lug 128.198695652174
2009 ago 138.32
2009 set 139.845714285714
2009 ott 150.905714285714
2009 nov 157.7645
2009 dic 160.823
2010 gen 157.553
2010 feb 151.814444444444
2010 mar 156.593913043478
2010 apr 160.57
2010 mag 159.425714285714
2010 giu 169.218095238095
2010 lug 170.814090909091
2010 ago 178.400454545455
2010 set 190.953333333333
2010 ott 194.1965
2010 nov 207.543
2010 dic 228.371904761905
2011 gen 258.550476190476
2011 feb 297.278
2011 mar 315.908095238095
2011 apr 330.820526315789
2011 mag 329.109090909091
2011 giu 324.372857142857
2011 lug 292.834761904762
2011 ago 294.976956521739
2011 set 292.456666666667
2011 ott 277.26
2011 nov 275.6895
2011 dic 267.299523809524
2012 gen 271.389545454545
2012 feb 256.943684210526
2012 mar 216.203636363636
2012 apr 204.517
2012 mag 192.788636363636
2012 giu 175.7115
2012 lug 201.020454545455
2012 ago 186.635217391304
2012 set 190.374736842105
2012 ott 184.759090909091
2012 nov 171.608
2012 dic 164.145
2013 gen 168.127727272727
2013 feb 160.952777777778
2013 mar 152.884
2013 apr 150.109545454545
2013 mag 145.860952380952
2013 giu 131.4905
2013 lug 127.676956521739
2013 ago 122.07
2013 set 120.83619047619
2013 ott 115.883913043478
2013 nov 107.746
2013 dic 115.899473684211
2014 gen 121.446818181818
2014 feb 153.963
2014 mar 187.788421052632
2014 apr 201.4455
2014 mag 193.218571428571
2014 giu 177.4725
2014 lug 174.331739130435
2014 ago 192.76380952381
2014 set 185.808181818182
2014 ott 196.142173913043
2014 nov 180.608
2014 dic 172.385
2015 gen 176.772380952381
2015 feb 163.394444444444
2015 mar 142.240909090909
2015 apr 146.553
2015 mag 137.8755
2015 giu 136.345714285714
2015 lug 128.628695652174
2015 ago 129.572857142857
2015 set 117.054285714286
2015 ott 123.313333333333
2015 nov 124.2855
2015 dic 123.9375
2016 gen 121.2115
2016 feb 123.315789473684
2016 mar 132.944090909091
2016 apr 131.3955
2016 mag 130.196666666667
2016 giu 142.004090909091
2016 lug 152.145714285714
2016 ago 149.351304347826
2016 set 154.570952380952
2016 ott 160.607
2016 nov 166.831
2016 dic 149.655238095238
2017 gen 161.031818181818
2017 feb 163.981111111111
2017 mar 155.462173913043
2017 apr 148.958888888889
2017 mag 142.044090909091
2017 giu 135.268571428571
2017 lug 141.279047619048
2017 ago 145.633913043478
2017 set 144.6115
2017 ott 139.61
2017 nov 138.959
2017 dic 135.782631578947
2018 gen 139.103636363636
2018 feb 135.184444444444
2018 mar 131.182857142857
2018 apr 126.386666666667
2018 mag 124.033333333333
2018 giu 119.672857142857
2018 lug 114.794090909091
2018 ago 107.239565217391
2018 set 101.149473684211
2018 ott 117.454090909091
2018 nov 116.6345
2018 dic 108.241111111111
2019 gen 109.953636363636
2019 feb 109.579
2019 mar 102.953157894737
2019 apr 98.6947619047619
2019 mag 97.3772727272727
2019 giu 106.697368421053
2019 lug 112.093913043478
2019 ago 101.609090909091
2019 set 104.434285714286
2019 ott 103.260869565217
2019 nov 114.217
2019 dic 132.657368421053
2020 gen 118.896363636364
2020 feb 110.857777777778
2020 mar 113.725909090909
2020 apr 109.764
2020 mag 101.82
2020 giu 93.0009523809524
2020 lug 95.8960869565217
2020 ago 106.030952380952
2020 set 104.655238095238
2020 ott 95.3295238095238
2020 nov 104.3835
2020 dic 115.6245
2021 gen 119.401
2021 feb 126.345
2021 mar 129.748695652174
2021 apr 133.8125
2021 mag 155.389523809524
2021 giu 169.359523809524
2021 lug 177.149090909091
2021 ago 196.960454545455
2021 set 205.477619047619
2021 ott 220.7775
2021 nov 242.4
2021 dic 256.668571428571
2022 gen 268.44
2022 feb 286.155263157895
2022 mar 258.712272727273
2022 apr 263.397894736842
2022 mag 255.040454545455
2022 giu 263.902857142857
2022 lug 245.764761904762
2022 ago 253.082173913043
2022 set 248.137142857143
2022 ott 216.4425
2022 nov 182.212
2022 dic 192.811904761905
2023 gen 194.364090909091
2023 feb 218.095
2023 mar 212.242608695652
2023 apr 220.557777777778
2023 mag 208.774545454545
2023 giu 191.641904761905
2023 lug 170.735238095238
2023 ago 168.652608695652
2023 set 164.0095
2023 ott 163.820952380952
2023 nov 181.306
2023 dic 198.900526315789
2024 gen 201.516818181818
2024 feb 203.341578947368
2024 mar 203.6575
2024 apr 236.772727272727
2024 mag 228.751428571429
2024 giu 250.16
2024 lug 256.055217391304
2024 ago 257.855454545455
2024 set 265.929047619048
2024 ott 264.883043478261
2024 nov 305.732631578947
2024 dic 353.486315789474
2025 gen 388.159545454545
2025 feb 455.8705
2025 mar 443.157368421053
2025 apr 437.2975
2025 mag 438.108571428571
2025 giu 383.221
2025 lug 321.577391304348
2025 ago 368.858095238095
2025 set 418.511
