"mese" "dipendenti"
2000 gen 28054
2000 apr 28418
2000 lug 27570
2000 ott 28039
2001 gen 28016
2001 apr 28070
2001 lug 27168
2001 ott 27158
2002 gen 26986
2002 apr 27234
2002 lug 27072
2002 ott 27176
2003 gen 26930
2003 apr 27157
2003 lug 27060
2003 ott 27182
2004 gen 26999
2004 apr 27383
2004 lug 27171
2004 ott 27012
2005 gen 26777
2005 apr 27859
2005 lug 27640
2005 ott 27781
2006 gen 27725
2006 apr 28256
2006 lug 27792
2006 ott 28320
2007 gen 27686
2007 apr 28326
2007 lug 27621
2007 ott 28354
2008 gen 27866
2008 apr 27291
2008 lug 27759
2008 ott 26650
2009 gen 25722
2009 apr 25846
2009 lug 25492
2009 ott 24446
2010 gen 24601
2010 apr 25885
2010 lug 25392
2010 ott 24920
2011 gen 24941
2011 apr 25478
2011 lug 25298
2011 ott 24910
2012 gen 24865
2012 apr 25234
2012 lug 25628
2012 ott 25228
2013 gen 24768
2013 apr 24950
2013 lug 25392
2013 ott 25064
2014 gen 25220
2014 apr 25369
2014 lug 25599
2014 ott 25930
2015 gen 24918
2015 apr 25392
2015 lug 24846
2015 ott 25726
2016 gen 24807
2016 apr 25656
2016 lug 25518
2016 ott 25919
2017 gen 25084
2017 apr 26242
2017 lug 26342
2017 ott 26376
2018 gen 25525
2018 apr 26378
2018 lug 26300
2018 ott 26746
2019 gen 26344
2019 apr 26569
2019 lug 26784
2019 ott 27328
2020 gen 26062
2020 apr 21937
2020 lug 23817
2020 ott 24797
2021 gen 24209
2021 apr 24548
2021 lug 25365
2021 ott 25318
2022 gen 26830
2022 apr 26660
2022 lug 26462
2022 ott 25784
2023 gen 25847
2023 apr 26918
2023 lug 26372
2023 ott 26169
2024 gen 25657
2024 apr 26267
2024 lug 26349
2024 ott 26255
2025 gen 26264
2025 apr 25948
