"Mese" "Temperatura" "mese"
1 -0.9450407 1940 gen
2 -0.85736847 1940 feb
3 -0.88508034 1940 mar
4 -0.6047783 1940 apr
5 -0.5161829 1940 mag
6 -0.6681757 1940 giu
7 -0.45029354 1940 lug
8 -0.49912357 1940 ago
9 -0.6347742 1940 set
10 -0.81347847 1940 ott
11 -0.7594185 1940 nov
12 -0.5999098 1940 dic
1 -0.680809 1941 gen
2 -0.543087 1941 feb
3 -0.7136507 1941 mar
4 -0.806757 1941 apr
5 -0.60729504 1941 mag
6 -0.49279118 1941 giu
7 -0.5435276 1941 lug
8 -0.47484016 1941 ago
9 -0.8541212 1941 set
10 -0.5084219 1941 ott
11 -0.7847233 1941 nov
12 -0.691267 1941 dic
1 -0.5612564 1942 gen
2 -0.79671764 1942 feb
3 -0.70855236 1942 mar
4 -0.80339336 1942 apr
5 -0.60863304 1942 mag
6 -0.6796627 1942 giu
7 -0.7252188 1942 lug
8 -0.748476 1942 ago
9 -0.7412548 1942 set
10 -0.72173595 1942 ott
11 -0.8746214 1942 nov
12 -0.8196411 1942 dic
1 -0.8173027 1943 gen
2 -0.68402004 1943 feb
3 -0.8854418 1943 mar
4 -0.772172 1943 apr
5 -0.62962246 1943 mag
6 -0.7625942 1943 giu
7 -0.74256897 1943 lug
8 -0.77656364 1943 ago
9 -0.7097311 1943 set
10 -0.64995575 1943 ott
11 -0.6763687 1943 nov
12 -0.61020374 1943 dic
1 -0.38954926 1944 gen
2 -0.49927044 1944 feb
3 -0.4585266 1944 mar
4 -0.6304369 1944 apr
5 -0.59808826 1944 mag
6 -0.5167904 1944 giu
7 -0.53272915 1944 lug
8 -0.4685545 1944 ago
9 -0.41241074 1944 set
10 -0.45970345 1944 ott
11 -0.692009 1944 nov
12 -0.7618904 1944 dic
1 -0.7440872 1945 gen
2 -0.9201546 1945 feb
3 -0.80949116 1945 mar
4 -0.66435623 1945 apr
5 -0.73339176 1945 mag
6 -0.5330181 1945 giu
7 -0.6484051 1945 lug
8 -0.33533478 1945 ago
9 -0.5257206 1945 set
10 -0.55820656 1945 ott
11 -0.7568016 1945 nov
12 -0.8674841 1945 dic
1 -0.6201906 1946 gen
2 -0.7263622 1946 feb
3 -0.65206623 1946 mar
4 -0.6236839 1946 apr
5 -0.55397797 1946 mag
6 -0.63816166 1946 giu
7 -0.5782442 1946 lug
8 -0.66981125 1946 ago
9 -0.65384483 1946 set
10 -0.7780819 1946 ott
11 -0.7247143 1946 nov
12 -0.8403959 1946 dic
1 -0.6330576 1947 gen
2 -0.72608185 1947 feb
3 -0.5789299 1947 mar
4 -0.5139208 1947 apr
5 -0.5693722 1947 mag
6 -0.5190487 1947 giu
7 -0.5426779 1947 lug
8 -0.66395664 1947 ago
9 -0.69172 1947 set
10 -0.5799465 1947 ott
11 -0.6911936 1947 nov
12 -0.81565 1947 dic
1 -0.6501484 1948 gen
2 -0.83988094 1948 feb
3 -0.8922043 1948 mar
4 -0.7420702 1948 apr
5 -0.54552746 1948 mag
6 -0.60219 1948 giu
